inputName;inputPath;inputType;inputId;inputDesc;inputDownloadType
FREIHEITS-CHAT;DS-08-10-2020/ChatExport_2020-09-28-freiheitsChat;public_supergroup;9717909816;;all
Oliver Janich oeffentlich;DS-08-10-2020/ChatExport_2020-09-25-janich;public_channel;9808932799;;all
ATTILA HILDMANN OFFICIAL;DS-08-10-2020/ChatExport_2020-09-25-hildmann;public_channel;10034163583;;all
Gerechtigkeit fuer das Vaterland;DS-08-10-2020/ChatExport_2020-09-26-gerechtigkeitVaterland;public_channel;10069007089;;all
Corona Virus Informationen;DS-08-10-2020/ChatExport_2020-09-26-cvirusinfo;public_channel;9917074801;;all
Liberte;DS-08-10-2020/ChatExport_2020-09-26-liberte;public_channel;10068807626;;all
Golden Age Network;DS-08-10-2020/ChatExport_2020-09-26-goldenage;public_channel;9862302472;;all
Weltfrieden 2020;DS-08-10-2020/ChatExport_2020-09-26-weltfrieden2020;public_channel;9850980068;;all
Verschwoerungen;DS-08-10-2020/ChatExport_2020-09-26-verschwoerungen;public_channel;9942502804;;all
Digital Research Army;DS-08-10-2020/ChatExport_2020-09-27-digitalResearch;public_channel;9846664545;;all
StefanRaven;DS-08-10-2020/ChatExport_2020-09-27-stefanraven;public_channel;9820850677;;all
Eva Herman Offiziell;DS-08-10-2020/ChatExport_2020-09-27-evaherman;public_channel;9915108907;;all
Xavier Naidoo (inoffiziell);DS-08-10-2020/ChatExport_2020-09-25-xavier;public_channel;9874390332;;all
Digitaler Chronist;DS-08-10-2020/ChatExport_2020-09-29-digitalerChronist;public_channel;10068312319;;all
Das Prinz Telegramm;DS-08-10-2020/ChatExport_2020-09-29-prinzTelegram;public_channel;9742969264;;all
Strahlenkranz V....Merci Danke;DS-08-10-2020/ChatExport_2020-09-29-strahlenkranz;public_channel;10050449614;;all
Wissensbewahrung Absicherung/Videokanal, Kulturgut,;DS-08-10-2020/ChatExport_2020-09-30-absicherungNachwelt;public_channel;9779767132;;all
Holistische Gesundheit, Heilung und Aufklaerung;DS-08-10-2020/ChatExport_2020-09-30-holistischeGesundheit;public_channel;9758769198;not unique;all
Metropol Chronicles;DS-08-10-2020/ChatExport_2020-09-30-metropolChron;public_channel;9919682714;;all
Kulturstudio;DS-08-10-2020/ChatExport_2020-09-30-kulturstudio;public_channel;10064728094;;all
Medizinjournalist Rainer Taufertshoefer (oeffentlich);DS-08-10-2020/ChatExport_2020-09-30-rainerMedizin;public_channel;9804874080;;all
Die Deutsche Loesung - Aufklaerung;DS-08-10-2020/ChatExport_2020-09-30-deutscheAufklaerung;public_channel;9927244279;;all
Die deutsche Loesung - Gruppe;DS-08-10-2020/ChatExport_2020-09-30-deutscheLsg;public_supergroup;9982253319;;all
n8waechter.net;DS-08-10-2020/ChatExport_2020-10-01-nachtwaechter;public_channel;9744633492;;all
Deutsche Patrioten;DS-08-10-2020/ChatExport_2020-10-01-deutschePatri;public_supergroup;9785040372;;all
Patrioten im Widerstand;DS-08-10-2020/ChatExport_2020-10-01-patriotenWiderstand;public_channel;9913028741;;all
FREIHEITSCHAT - BLITZ;DS-08-10-2020/ChatExport_2020-10-01-freiheitsChatBlitz;public_supergroup;9943834900;;all
Antiilluminaten TV;DS-08-10-2020/ChatExport_2020-10-02-antiilluminaten;public_channel;10060003597;;all
DieWahrheitundnurdieWahrheit;DS-08-10-2020/ChatExport_2020-10-02-chatDieWahrheit;public_supergroup;9969119455;;all
ExpressZeitung;DS-08-10-2020/ChatExport_2020-10-03-expressZeitung;public_channel;9857073102;;all
Unzensiert;DS-08-10-2020/ChatExport_2020-10-04-unzensiert;public_channel;9725746662;;all
Aufwachen;DS-22-10-2020/ChatExport_2020-10-11-aufwachen;public_channel;9683270591;;all
Gesundheitsecke;DS-22-10-2020/ChatExport_2020-10-11-gesundheitsecke;public_channel;9706227251;;all
Wissen ist Weisheit;DS-22-10-2020/ChatExport_2020-10-12-wissenWeisheit;public_channel;9691754437;;all
QAnons Channel;DS-22-10-2020/ChatExport_2020-10-12-qAnonsGermany;public_channel;9804534747;;all
Qanon Austria;DS-22-10-2020/ChatExport_2020-10-13-qanonAustria;public_channel;9962163863;;all
Freie Berichterstattung International;DS-22-10-2020/ChatExport_2020-10-13-freieBerichtInt;public_channel;9935429847;;all
Regellese und Diskussionsgruppe zum Xavier's Musik Chat;DS-22-10-2020/ChatExport_2020-10-13-xavierChat;private_supergroup;9907103286;;all
WIR sind VIEL mehr!;DS-22-10-2020/ChatExport_2020-10-13-wirSindMehr;public_supergroup;9788772075;;all
FreiDenker oder doch eher Freiraus Poster - 0815, das ist die Frage;DS-22-10-2020/ChatExport_2020-10-15-freiDenker;public_supergroup;9836526551;;all
Freiheitdergedanken;DS-22-10-2020/ChatExport_2020-10-18-freiheitDerGedanken;public_channel;10013009712;;all
Querdenken (711 - STUTTGART) - Wir fuer das Grundgesetz;DS-22-10-2020/ChatExport_2020-10-18-querdenken711;public_supergroup;9812812343;;all
Holistische Gesundheit, Heilung und Aufklaerung;DS-22-10-2020/ChatExport_2020-10-18-holistischeGesundheitHeilung;public_channel;9758769198;not unique;all
Fakten Frieden Freiheit;DS-22-10-2020/ChatExport_2020-10-20-faktenFriedenFreiheit;public_channel;9785934992;;all
BabylonDecoded Wissen und Erbe fuer die Nachwelt Absicherung;DS-22-10-2020/ChatExport_2020-10-21-babylonDecoded;public_channel;10002534295;;all
Die Zuversicht, Kulturgut, Wissensbewahrung, Absicherung;DS-22-10-2020/ChatExport_2020-10-21-zuversichtWissensbewahrung;public_channel;9770976019;;all
Holistisches Matrixdenken (uebergeordnet);DS-22-10-2020/ChatExport_2020-10-21-holistischesDenkenUeber;public_channel;9894423174;;all
